Mathematics,Science,English,Hindi,Social Science,Physics,Chemistry,Biology,Basic Electrical Engineering,Mathematics I,Analog Electronic Circuits,Environmental Science,Basic Manufacturing Systems,Yoga and Human Consciousness,Professional Communication,Engineering Graphics,Computer Programming,Data Structures and Algorithms,Digital Electronics,Engineering Economics,Object-Oriented Programming,Probability & Statistics,Computer Organization and Architecture,Database Management Systems,Principle of Digital Communication,Operating Systems,Automata and Formal Languages,Web Technology,Business Communication,Software Engineering,Big Data,Design and Analysis of Algorithms,High-Performance Computing,Computer Networks,Artificial Intelligence,Law of Patent,Data Analytics,Internet of Things,Compiler Design,Software Project Management,Cloud Computing,Tools and Techniques Laboratory,Minor Project,Job Role
72,76,81,85,92,72,81,76,52,78,59,63,89,94,60,69,63,54,57,65,60,54,73,89,92,86,84,81,75,89,51,90,64,97,67,93,80,83,70,92,89,79,65,Cybersecurity Analyst
100,54,98,73,83,77,96,68,65,100,88,76,59,74,82,76,55,65,94,68,71,65,73,66,61,79,55,99,83,64,78,99,98,58,83,85,61,64,78,70,97,59,59,Project Manager
68,88,54,51,74,50,70,94,97,67,63,77,75,90,97,97,90,74,84,57,86,80,57,88,70,55,54,63,56,74,77,67,95,92,97,96,66,78,91,78,51,83,75,Patent Lawyer
96,59,83,77,54,73,84,88,76,61,97,92,92,57,76,52,67,66,82,77,67,67,66,93,52,73,97,76,57,94,52,62,97,59,79,94,52,50,77,73,55,50,58,Doctor
84,83,91,65,90,51,63,50,94,62,60,63,68,82,71,57,99,53,88,63,60,93,93,97,99,93,66,95,61,59,77,77,68,74,83,83,83,58,82,69,70,88,77,Embedded Systems Engineer
83,56,94,62,88,87,55,92,81,94,59,88,69,84,98,91,95,88,63,71,55,74,95,94,58,66,81,85,72,58,84,54,70,73,55,53,75,97,99,82,99,96,57,Engineer
53,95,86,77,77,59,88,79,94,66,58,75,96,65,61,59,85,82,53,53,57,71,67,96,53,79,91,86,87,98,77,88,93,66,60,68,59,93,96,69,84,54,89,Database Administrator
53,65,78,83,53,95,80,88,88,80,87,88,71,77,77,73,95,92,85,71,82,97,94,68,50,92,91,92,57,92,60,67,51,50,58,75,73,93,88,53,75,100,70,AI Researcher
54,52,92,78,68,59,57,99,73,91,60,94,92,61,54,62,81,89,67,58,91,61,84,53,79,83,62,77,67,99,71,91,62,80,70,73,76,80,82,61,85,100,65,DevOps Engineer
65,61,95,79,70,56,85,68,98,70,77,65,67,99,85,54,97,55,72,93,56,85,59,81,73,95,51,63,55,100,62,95,70,82,54,80,100,86,54,87,69,68,84,Data Scientist
91,71,50,59,71,90,76,81,74,93,54,77,72,60,73,98,97,84,82,73,68,79,100,84,96,84,99,65,56,91,65,74,72,79,82,67,50,75,75,67,59,60,79,Software Developer
63,55,96,86,58,89,57,63,91,61,94,79,96,57,80,53,78,97,79,85,92,100,97,86,64,57,100,69,99,83,91,82,51,81,94,76,90,93,64,95,94,78,87,Data Scientist
92,82,71,88,63,93,63,81,62,62,92,95,87,57,51,97,74,59,88,61,66,60,73,64,56,68,81,74,54,50,50,55,78,85,88,76,64,61,96,64,93,80,95,Engineer
96,96,59,100,80,74,88,83,96,82,58,89,91,95,56,51,50,52,81,72,50,67,96,50,91,96,62,68,86,59,53,86,68,89,61,55,59,92,96,86,77,60,67,Cybersecurity Analyst
74,64,64,85,92,86,76,70,62,84,94,69,55,98,62,73,83,72,67,93,84,68,89,74,72,52,62,92,78,99,72,71,70,61,87,59,79,85,62,57,62,75,87,Civil Services
51,72,60,75,100,84,75,81,94,77,69,88,53,55,61,91,50,76,63,52,81,100,59,69,67,71,92,66,86,76,79,72,95,95,72,80,76,50,83,63,74,54,68,AI Researcher
51,99,68,85,76,73,55,50,71,97,73,67,54,96,52,66,63,56,95,91,73,60,75,76,68,83,87,98,82,99,84,84,51,87,65,58,99,88,90,63,56,97,77,Data Scientist
95,56,69,98,79,93,98,57,55,99,66,70,92,72,73,65,79,96,91,83,76,70,77,79,50,83,78,87,66,56,54,63,76,87,50,89,88,91,72,55,100,91,93,Data Scientist
96,66,63,90,67,73,88,85,86,92,69,76,83,56,71,83,83,93,96,100,96,60,83,88,94,91,60,83,93,52,69,68,86,61,54,52,97,76,82,50,76,67,54,Data Scientist
92,85,50,88,66,97,85,53,97,55,50,73,100,100,66,93,92,93,98,57,73,61,72,58,76,98,61,82,87,54,70,50,100,58,79,91,60,83,81,83,71,94,64,Software Developer
67,77,94,66,66,74,84,63,64,63,100,94,93,97,66,89,80,56,96,89,73,52,89,67,67,74,90,99,80,89,52,65,95,58,58,98,62,59,79,77,78,60,72,Patent Lawyer
82,57,62,85,85,51,80,72,96,68,89,84,62,91,87,77,84,62,74,67,75,92,60,75,92,59,94,66,55,91,71,56,97,63,60,90,64,95,79,60,55,69,90,Patent Lawyer
54,67,57,57,86,89,84,54,54,85,67,90,73,80,53,88,83,95,72,65,95,92,60,58,71,88,61,61,80,100,53,94,76,57,97,61,69,71,86,95,68,80,50,AI Researcher
74,55,62,67,85,70,81,61,74,69,85,95,85,61,51,72,84,84,70,64,94,71,62,100,62,51,53,54,77,82,96,90,60,81,55,77,59,91,80,55,74,52,62,Environmental Engineer
82,51,59,75,71,82,61,81,53,61,77,67,85,53,56,58,60,63,82,75,73,88,81,57,54,97,62,73,63,84,79,77,69,96,82,76,81,73,54,96,90,76,100,Engineer
58,51,58,76,98,59,60,65,92,92,75,75,88,81,64,62,99,87,51,70,65,86,85,93,78,93,80,84,95,71,69,74,62,77,77,68,59,77,57,71,82,50,53,Cloud Engineer
83,98,53,87,54,77,63,68,59,57,75,72,60,67,97,76,59,85,100,56,58,77,55,98,96,58,77,96,67,69,63,87,55,86,60,72,53,85,55,79,55,92,73,Full Stack Developer
93,94,68,97,98,68,57,93,91,90,54,54,66,98,84,59,52,74,93,64,72,76,53,90,77,66,59,93,79,59,51,92,74,97,92,77,66,52,99,67,98,100,78,Network Engineer
88,77,79,65,82,89,61,85,85,63,80,60,68,60,68,90,54,55,51,75,77,67,76,55,59,90,80,52,93,72,58,53,100,50,85,98,55,66,78,95,77,91,97,Engineer
93,100,89,96,58,68,71,50,100,54,89,96,59,52,63,85,90,63,64,67,50,85,55,61,63,88,61,70,71,59,91,92,59,73,59,51,73,74,52,64,64,54,91,Software Developer
53,98,55,72,88,50,76,83,83,79,66,100,99,97,54,58,88,96,54,57,86,60,74,93,98,70,90,78,100,85,68,75,58,72,91,81,58,84,90,76,52,77,73,Environmental Engineer
81,51,53,56,73,62,78,61,88,75,73,55,100,87,53,57,90,53,97,52,88,92,96,83,64,57,94,60,69,52,78,59,50,84,99,68,92,73,92,93,70,81,94,Data Scientist
85,92,60,85,66,91,63,83,62,70,90,76,91,67,69,73,72,72,92,96,50,63,80,75,77,53,61,68,91,82,99,79,86,50,56,90,97,54,52,88,70,58,56,Data Scientist
62,73,50,55,87,72,68,57,56,75,52,95,60,61,78,56,92,82,89,88,57,72,78,93,98,58,86,69,72,71,60,77,63,98,81,65,74,76,67,84,89,87,72,Environmental Engineer
88,67,74,79,58,50,80,81,56,74,94,68,75,90,86,50,74,91,52,99,80,71,76,56,72,89,91,81,68,64,97,55,59,68,88,89,76,83,73,75,74,72,96,Full Stack Developer
97,58,75,53,94,82,67,78,84,56,61,56,88,96,53,80,82,77,65,77,86,77,54,84,66,83,54,77,78,86,61,70,77,77,97,70,78,77,83,89,65,99,69,Engineer
83,90,69,96,85,60,86,79,94,100,76,99,64,75,80,69,55,63,76,62,62,65,86,79,71,91,64,84,79,85,51,88,79,70,87,50,68,99,89,87,65,83,55,Environmental Engineer
65,74,75,78,52,83,89,74,70,76,54,59,62,92,68,99,89,61,95,98,84,89,69,68,65,97,98,77,67,91,84,53,92,64,77,85,88,89,78,73,79,85,97,Data Scientist
84,84,97,94,91,79,69,95,57,91,93,50,68,52,65,86,84,64,96,54,100,88,89,70,90,82,61,53,68,57,92,90,81,73,85,92,86,53,65,55,72,85,95,Data Scientist
50,98,67,86,74,60,68,52,68,58,59,92,91,51,53,80,66,80,55,80,96,91,97,96,83,72,68,65,54,72,57,75,79,100,99,66,92,64,51,90,65,52,58,Data Scientist
67,81,79,86,51,87,56,95,60,55,71,52,91,84,56,89,53,54,56,65,76,86,83,88,100,57,54,52,62,59,57,90,98,68,99,54,84,96,64,66,55,53,89,AI Researcher
84,79,64,62,88,60,70,62,54,94,75,93,73,69,96,51,55,95,79,67,86,53,86,79,97,64,55,78,68,94,52,85,68,86,74,98,100,65,95,80,72,75,86,Data Scientist
88,76,52,78,65,91,63,51,83,100,82,65,75,59,100,68,67,65,58,77,66,54,56,89,50,79,62,88,61,80,75,57,85,74,69,86,87,88,79,56,54,99,73,Data Scientist
96,84,100,51,51,78,89,91,53,83,77,81,91,82,83,78,81,72,60,84,97,74,70,73,78,88,59,58,75,67,90,95,73,65,55,90,57,97,57,59,97,86,55,Doctor
69,89,82,60,58,75,80,63,54,50,87,69,95,63,82,68,99,70,74,55,83,86,63,86,69,74,55,89,87,84,72,77,65,100,55,78,72,75,51,79,79,90,53,Web Developer
97,50,86,79,96,69,99,81,64,74,84,79,59,82,100,82,54,100,95,58,79,87,54,100,75,78,68,76,72,69,74,57,71,93,93,92,55,97,97,84,70,54,63,Full Stack Developer
87,69,98,76,63,57,64,53,92,60,63,78,68,77,69,98,59,76,65,75,89,88,51,85,52,77,58,95,93,84,86,94,67,79,92,81,56,92,69,93,69,63,70,Machine Learning Engineer
90,84,55,74,81,89,96,66,72,50,96,91,62,81,86,61,51,78,78,64,88,83,88,79,87,94,100,73,65,55,64,50,84,90,80,55,52,83,99,79,75,81,67,Engineer
66,60,59,83,82,93,81,73,81,56,95,75,78,98,65,60,53,64,98,57,78,59,84,73,69,62,55,67,87,90,95,70,51,56,96,80,52,67,57,69,59,66,76,Electrical Engineer
79,67,70,90,90,68,73,54,87,88,70,86,54,63,53,55,93,69,93,72,94,62,57,71,62,100,86,99,66,88,99,83,56,93,55,98,87,78,58,50,84,75,52,Data Scientist
50,59,57,66,59,52,79,80,96,88,84,57,51,100,91,85,50,88,74,66,52,88,95,100,75,50,68,91,64,89,60,75,90,53,68,69,70,88,100,52,92,54,98,Database Administrator
100,75,71,95,79,82,53,59,56,72,58,69,61,55,83,59,71,61,76,69,99,64,60,65,54,83,67,94,50,79,57,74,99,71,92,61,51,52,85,84,96,52,86,Engineer
85,59,51,70,51,70,70,97,98,76,89,69,100,87,64,52,65,95,50,87,73,96,75,66,77,75,71,94,83,64,65,100,51,55,94,67,97,99,75,99,94,55,78,Data Scientist
80,52,93,70,82,58,63,71,77,71,85,76,66,56,72,69,60,80,51,74,65,59,89,53,91,100,92,61,61,92,54,58,71,71,96,84,63,75,55,50,97,59,57,Cloud Architect
82,76,71,52,96,70,96,66,70,74,52,51,72,60,50,64,92,62,54,73,85,76,67,97,93,65,78,58,83,79,97,81,57,87,62,70,75,51,63,76,100,98,58,Machine Learning Engineer
98,73,87,67,80,99,85,82,92,91,55,50,51,73,73,62,50,76,58,80,57,68,88,54,85,76,77,87,68,68,65,73,62,80,99,94,87,79,50,95,95,100,65,Data Scientist
79,84,63,86,68,87,58,64,75,78,73,99,90,82,76,69,51,58,82,90,87,61,96,89,57,57,57,74,62,74,72,70,80,66,87,92,86,95,93,76,96,70,63,Data Scientist
73,57,70,76,56,85,53,64,91,59,81,97,84,79,92,82,86,78,52,74,94,59,56,90,65,63,67,81,98,62,53,87,90,91,55,90,90,100,86,61,62,92,72,Data Scientist
76,61,68,98,78,75,100,96,74,58,54,85,64,92,58,80,98,94,66,67,76,68,53,69,50,99,82,69,64,89,95,73,85,80,75,65,80,52,65,68,57,85,65,Doctor
60,61,100,56,78,61,80,58,59,64,85,93,70,53,56,51,89,72,94,77,63,65,53,98,88,93,89,57,85,87,68,65,57,58,77,51,79,96,63,90,81,61,83,Database Administrator
56,82,52,57,73,73,57,67,72,62,96,78,67,71,67,59,63,56,85,82,66,55,94,62,54,73,89,75,83,94,72,88,86,98,68,79,59,69,74,55,67,89,93,Software Engineer
72,52,57,56,59,97,68,78,66,97,88,100,77,87,75,77,52,51,67,74,60,57,100,58,65,90,94,78,53,51,81,73,93,78,53,81,74,73,58,75,55,64,68,Environmental Engineer
76,63,83,73,56,89,95,50,55,89,98,89,61,51,86,95,89,66,97,90,70,61,86,86,83,83,53,73,63,51,76,57,92,54,69,56,97,68,90,52,56,71,78,Data Scientist
68,89,62,58,59,58,64,98,56,67,68,61,86,69,89,92,79,81,50,87,81,52,98,91,97,71,67,97,66,96,58,98,76,77,71,77,91,51,63,75,62,91,87,Data Scientist
73,86,91,64,99,81,92,95,71,61,94,71,84,64,58,55,90,67,54,50,96,63,73,68,98,77,65,90,74,54,60,68,67,84,53,100,95,64,76,67,88,76,93,Data Scientist
83,64,92,100,58,73,84,57,57,50,67,90,76,54,86,70,77,50,66,59,53,80,73,66,51,71,57,50,61,53,66,68,96,72,92,79,86,92,89,91,53,55,75,Data Scientist
81,98,87,74,95,98,67,61,65,83,75,99,74,65,82,91,70,87,70,65,55,62,50,96,52,54,51,60,88,79,66,91,93,57,74,73,71,52,80,66,92,70,68,Engineer
99,66,98,74,75,54,100,82,78,69,81,57,65,76,85,86,93,57,68,79,86,78,99,53,72,64,82,76,85,58,82,90,68,55,76,56,88,62,64,52,87,85,60,Software Developer
98,60,69,54,51,75,100,53,80,97,100,62,81,69,69,71,52,75,87,62,58,74,75,60,70,55,60,61,63,57,95,58,54,93,73,75,64,52,92,50,97,59,96,Machine Learning Engineer
95,51,83,79,70,75,92,68,85,65,72,93,89,55,57,82,99,81,66,55,87,86,58,66,51,60,65,87,77,92,50,72,88,51,79,51,83,100,85,76,56,77,87,Software Developer
91,60,50,80,83,92,71,70,90,60,57,76,79,86,74,52,65,94,74,72,51,59,62,62,85,57,67,100,75,88,69,81,67,99,93,88,61,74,69,54,81,87,70,Engineer
52,69,63,83,86,81,98,62,52,65,67,53,77,96,86,73,60,98,64,76,93,87,83,85,83,64,87,97,63,52,72,72,56,95,69,73,74,98,79,91,84,97,56,AI Researcher
94,51,56,93,70,74,61,62,50,92,73,64,58,60,80,74,97,57,98,75,95,82,79,58,86,90,61,92,77,60,87,69,77,72,63,76,81,64,98,61,85,99,62,Software Developer
90,89,88,51,70,60,74,88,90,74,95,96,68,59,71,77,66,91,53,79,55,90,56,55,73,91,88,96,97,67,63,88,69,100,58,100,93,96,77,66,72,51,93,Data Scientist
57,77,93,81,64,85,86,73,83,61,97,65,55,62,83,51,92,55,67,88,84,82,97,90,68,95,72,98,81,58,70,56,70,81,58,70,89,77,91,96,89,96,66,Data Scientist
55,88,50,97,52,73,52,96,72,63,71,52,64,63,97,89,71,83,82,88,91,66,59,75,98,94,86,68,52,69,72,86,53,96,56,51,58,83,70,100,89,98,56,Cybersecurity Analyst
70,70,53,62,50,59,81,53,61,78,64,72,64,87,65,72,58,71,88,96,98,71,88,55,79,50,90,89,89,61,51,95,69,79,62,99,71,64,92,100,55,50,86,Web Developer
93,61,84,77,58,62,84,85,85,91,53,64,55,82,98,95,58,84,60,63,57,81,92,87,55,78,92,63,85,88,66,67,63,61,68,61,100,92,89,66,73,82,56,Data Scientist
81,84,53,100,75,83,50,66,74,74,99,58,74,72,95,100,89,60,82,88,100,57,70,94,81,77,56,84,71,90,81,76,51,51,67,60,52,80,52,70,63,80,95,Engineer
77,57,54,68,51,71,50,89,78,97,92,85,85,96,88,63,98,67,59,50,85,66,100,88,88,93,94,70,72,57,99,64,84,81,71,71,83,61,96,55,65,53,71,Cybersecurity Analyst
72,95,84,72,64,92,93,53,61,99,68,87,99,72,77,64,100,72,79,51,69,66,55,94,80,59,71,57,74,66,86,67,55,63,95,75,69,67,82,87,95,66,81,Environmental Engineer
81,67,62,95,56,73,98,56,54,73,87,98,53,88,92,60,68,58,52,83,96,50,57,58,60,57,84,80,87,70,86,93,80,65,79,62,78,54,86,83,84,50,78,Machine Learning Engineer
82,69,90,66,78,71,85,84,54,97,79,66,72,97,100,51,58,63,68,74,83,98,56,87,85,75,57,52,81,70,66,62,92,78,89,81,78,50,74,52,81,70,53,Project Manager
92,68,70,93,64,82,92,78,84,69,85,72,87,95,91,79,66,76,58,51,79,83,54,73,63,74,86,95,88,93,86,96,93,76,70,93,74,60,58,91,88,77,84,Engineer
67,68,82,87,56,61,97,82,58,50,55,65,98,63,56,56,55,52,80,90,58,77,99,94,89,88,64,89,58,76,55,99,95,61,95,94,96,92,75,93,99,73,87,Data Scientist
51,97,96,92,68,52,75,60,73,89,96,62,97,81,91,97,57,68,77,91,52,91,86,64,72,75,75,64,54,89,60,75,74,71,68,91,50,88,79,59,80,86,82,Economist
65,79,97,82,65,65,85,71,85,67,90,74,89,86,88,58,96,79,95,51,50,50,53,65,86,88,62,71,98,53,97,65,74,55,92,67,72,72,73,50,67,54,98,Project Manager
54,73,83,84,89,78,78,87,75,92,64,94,65,52,65,53,92,91,93,88,53,88,50,92,51,72,55,79,91,82,78,97,66,51,80,90,62,67,76,61,99,83,58,Economist
56,75,73,70,69,51,54,87,95,90,97,96,87,92,54,94,89,88,58,53,100,98,67,93,52,52,86,97,56,63,72,57,51,97,58,89,96,59,81,83,56,70,50,Data Scientist
56,94,63,66,93,97,100,63,93,81,84,83,71,68,84,99,78,96,52,50,88,60,60,64,91,86,65,62,88,87,56,61,92,82,80,97,76,56,77,99,54,71,74,Cybersecurity Analyst
63,58,82,98,54,72,91,62,63,75,86,85,58,97,83,72,81,67,91,80,80,88,71,98,72,76,73,69,95,65,100,57,94,53,61,68,93,56,54,57,88,65,57,Data Scientist
58,52,65,78,94,52,79,88,52,58,77,52,100,74,98,94,91,82,71,68,89,92,76,93,90,64,90,73,97,72,55,96,66,53,82,93,66,50,92,60,77,84,87,Project Manager
65,53,58,72,58,89,94,66,66,58,86,95,89,53,57,53,85,84,89,73,97,71,69,89,50,99,73,74,72,97,78,66,75,52,52,58,58,76,98,77,80,98,100,Database Administrator
69,50,70,87,65,55,68,94,56,72,64,87,69,82,61,87,84,60,52,90,57,96,88,96,91,83,89,74,76,66,83,50,89,84,65,53,92,65,60,59,62,70,57,Data Scientist
95,92,86,95,55,81,72,72,69,54,85,81,80,50,77,59,50,91,60,92,60,54,77,71,81,98,74,55,88,60,73,50,70,69,66,64,53,63,57,71,94,81,65,Engineer
100,69,93,82,72,91,85,57,66,63,64,67,84,52,69,91,82,70,61,77,93,72,99,57,98,63,86,98,55,78,74,67,57,85,76,94,90,69,89,50,50,75,79,Data Scientist
100,90,76,55,90,54,52,96,64,95,60,85,83,96,63,50,88,50,85,61,66,66,56,79,68,84,90,81,89,55,86,90,93,79,89,73,91,90,95,87,96,66,55,Software Developer
97,81,80,52,65,81,85,73,84,60,52,82,91,59,77,57,95,71,73,71,86,70,60,98,59,65,98,98,65,92,62,80,66,68,63,97,91,59,81,64,95,93,100,Software Developer
50,80,87,73,89,98,79,97,73,55,88,80,61,96,70,59,65,86,85,53,80,77,72,71,56,71,62,75,70,91,54,70,85,64,50,64,88,70,75,61,53,56,81,Data Scientist
52,64,52,86,81,76,70,57,65,55,95,55,55,91,100,82,65,54,53,53,84,94,66,81,82,98,96,66,67,73,63,68,99,61,87,97,94,57,94,63,80,67,90,Data Scientist
68,76,88,56,76,62,85,85,83,93,78,100,58,51,94,97,56,77,74,81,53,78,83,66,84,84,50,88,72,88,77,89,73,75,74,53,94,64,58,63,71,58,81,Data Scientist
69,63,62,50,68,77,53,56,83,64,74,62,61,50,51,83,84,83,91,91,86,84,61,96,96,90,66,95,70,91,57,55,50,64,64,82,52,59,76,89,55,96,69,Database Administrator
56,54,55,86,82,83,83,78,59,59,73,99,83,55,59,63,92,94,77,72,99,83,91,61,89,76,83,80,66,70,57,82,56,95,84,57,73,100,74,97,95,87,81,AI Researcher
75,72,80,92,93,85,80,69,96,60,53,100,72,72,92,53,55,63,67,51,53,60,89,97,56,80,57,57,70,81,59,63,53,86,63,52,67,89,90,63,87,71,91,Environmental Engineer
100,64,85,82,55,74,83,79,90,71,89,55,62,100,89,76,80,74,74,81,97,95,81,64,72,62,62,58,51,76,71,95,90,62,85,99,76,53,94,68,51,64,74,Economist
91,100,60,95,84,99,56,93,65,66,60,90,52,69,84,76,64,94,84,70,96,71,91,53,69,75,97,67,88,51,64,53,62,87,66,77,91,68,84,76,96,53,62,Data Scientist
50,91,67,96,54,95,96,63,67,51,80,99,90,64,100,83,61,52,77,86,58,84,92,56,61,82,81,51,73,67,83,53,89,100,60,99,78,59,67,75,85,86,78,AI Researcher
94,83,56,65,86,67,81,64,62,65,94,88,53,59,87,78,82,86,53,74,64,53,64,87,68,61,74,58,88,98,61,67,71,61,87,85,76,86,92,78,81,82,53,Full Stack Developer
99,58,50,54,55,100,92,59,89,98,53,95,82,51,70,84,68,53,97,79,62,68,59,98,53,91,75,64,79,57,86,81,92,70,64,53,52,74,59,83,93,94,68,Engineer
71,91,88,65,90,62,87,56,92,51,83,63,81,95,60,61,53,72,58,78,96,55,51,85,72,96,68,58,86,76,52,57,68,60,51,81,83,97,84,56,65,82,92,Systems Analyst
56,60,85,54,81,69,86,93,56,74,73,70,53,61,100,98,58,87,64,84,75,63,90,51,63,63,96,98,94,67,67,85,72,76,67,71,94,55,54,59,65,90,94,Data Scientist
60,89,63,97,69,54,99,60,77,71,89,88,98,79,96,93,70,69,50,62,90,77,89,67,50,70,96,85,84,57,77,100,82,62,67,76,60,90,91,60,89,66,82,Project Manager
54,77,57,83,78,73,58,83,70,93,60,57,80,80,68,71,86,74,68,56,91,60,60,98,81,61,90,69,94,97,87,81,79,88,64,69,76,95,93,95,80,60,52,Database Administrator
66,58,78,95,86,74,84,51,91,70,88,76,55,64,52,60,71,54,99,67,78,63,57,59,86,84,67,100,68,100,66,88,80,70,73,95,83,87,51,84,73,86,88,Patent Lawyer
63,91,72,53,58,63,54,87,56,86,82,87,70,55,62,68,87,53,94,55,87,79,100,53,86,71,76,81,59,90,79,66,53,93,80,68,87,91,63,57,50,83,83,Data Scientist
72,70,69,82,91,63,73,68,65,93,77,62,58,74,69,64,87,96,85,69,73,86,84,96,62,72,55,79,91,90,66,86,89,63,99,77,75,61,59,91,81,69,59,Database Administrator
89,97,99,77,89,85,97,84,66,54,84,61,96,56,55,71,86,90,79,59,73,83,58,62,56,72,81,74,83,91,69,77,100,81,100,51,66,71,93,85,94,89,50,Software Developer
61,93,93,100,68,68,66,67,63,71,82,56,70,61,95,76,66,83,61,75,85,84,62,77,72,86,100,69,75,69,62,78,50,91,50,80,76,81,86,97,63,55,77,Cybersecurity Analyst
94,80,58,59,62,85,67,88,64,84,76,88,77,56,97,83,87,80,84,74,81,62,60,84,51,51,70,91,78,65,89,58,52,75,77,64,74,76,79,100,55,71,83,Software Developer
88,50,89,73,79,91,59,83,97,98,73,61,74,54,91,78,85,75,54,78,61,82,61,74,98,99,96,84,59,78,88,59,51,66,59,81,93,82,69,93,86,92,68,Data Scientist
98,81,63,76,50,88,52,54,80,61,71,98,57,51,88,84,81,75,90,53,67,66,87,57,93,80,67,65,67,85,57,82,51,89,65,63,97,52,64,72,82,70,82,Data Scientist
53,61,94,75,63,83,70,99,84,54,50,76,55,77,65,99,54,69,100,66,80,65,82,62,53,94,65,94,70,90,80,67,88,65,56,58,78,91,66,51,68,73,85,Mechanical Engineer
90,57,95,98,74,52,66,81,97,57,76,93,90,52,87,99,52,79,100,53,83,58,73,87,73,84,84,91,75,83,51,90,98,94,86,72,80,57,76,65,55,55,85,Cybersecurity Analyst
86,73,61,67,83,79,98,95,82,89,81,92,89,66,61,61,87,63,58,67,97,73,54,69,60,78,87,98,73,83,78,82,52,96,81,68,68,97,70,63,72,65,91,Software Developer
54,64,86,95,70,69,64,86,77,68,99,60,55,82,92,68,89,78,77,91,86,52,66,91,55,92,70,71,74,57,78,73,100,56,62,84,82,89,79,54,74,85,67,Cloud Architect
75,54,79,75,70,73,87,71,87,72,88,69,74,55,64,90,92,100,67,73,58,78,92,87,63,80,58,72,73,86,85,87,99,95,53,50,90,92,52,71,84,78,76,Data Scientist
65,67,81,78,66,55,64,84,90,83,90,98,81,94,91,59,62,77,57,84,66,81,76,65,93,62,74,88,64,100,62,58,90,67,95,93,88,80,95,66,52,92,51,Data Scientist
88,70,96,62,51,61,74,67,100,76,63,93,74,94,71,69,79,71,69,52,92,70,67,58,90,73,75,70,95,57,81,78,69,60,100,58,81,57,94,75,83,95,96,Environmental Engineer
96,72,61,68,72,96,64,70,77,87,97,56,67,66,99,75,72,66,78,65,95,64,58,90,97,50,52,66,57,55,76,72,76,68,63,58,51,86,71,74,95,100,64,Engineer
53,79,78,91,68,75,65,72,68,53,65,65,71,55,81,74,52,70,74,67,53,70,66,98,85,87,59,54,67,63,90,97,100,81,94,63,70,95,87,71,62,75,51,Cybersecurity Analyst
82,74,77,78,57,60,100,65,55,66,73,98,73,95,66,83,65,61,95,67,92,50,78,52,57,75,92,79,83,59,79,65,83,99,93,51,81,95,74,96,92,56,99,Environmental Engineer
51,70,70,93,70,64,60,92,74,53,88,71,82,81,67,73,63,72,70,57,74,68,62,55,50,62,81,99,83,87,88,78,89,54,88,100,78,70,87,86,93,54,96,Patent Lawyer
54,61,79,54,61,57,87,64,73,67,77,62,77,68,80,81,85,92,69,89,73,52,79,67,64,76,50,77,73,87,67,88,81,92,87,65,53,88,86,52,95,73,72,DevOps Engineer
84,87,92,60,82,81,82,72,91,60,77,66,85,57,90,87,76,67,75,86,87,70,82,70,66,57,53,69,71,94,87,85,65,93,57,100,58,84,92,60,92,91,51,Engineer
84,89,53,53,96,70,58,54,53,95,55,54,53,79,95,75,84,51,72,53,89,50,62,63,71,86,54,98,58,81,95,54,67,89,77,65,68,87,83,81,59,55,62,Machine Learning Engineer
57,82,60,52,53,50,59,98,61,65,60,62,95,64,93,60,75,69,70,94,99,87,57,79,50,57,94,75,68,100,54,70,62,73,75,52,54,80,86,91,95,57,58,Economist
67,63,75,79,50,88,52,64,65,98,74,68,54,63,80,74,84,77,50,79,71,75,95,83,66,53,94,90,94,95,50,90,66,94,94,94,76,54,82,75,79,96,69,Patent Lawyer
89,83,61,68,64,81,93,62,81,85,90,92,53,73,77,92,97,82,96,66,80,54,99,91,75,56,79,60,91,88,68,75,52,99,88,99,90,58,75,97,55,78,91,Software Developer
71,77,54,64,68,70,87,95,59,68,67,89,96,66,90,78,85,93,66,82,96,84,99,65,83,83,96,61,62,99,51,89,74,58,65,72,70,76,82,80,65,64,86,Doctor
66,74,92,96,70,76,63,95,64,74,97,56,83,76,91,95,66,90,91,81,99,98,58,66,92,75,73,76,70,61,72,57,85,98,53,57,55,77,90,55,75,80,72,Economist
71,58,50,57,90,72,58,95,59,75,62,63,70,55,92,87,67,84,95,95,63,94,84,74,98,68,67,62,78,68,74,88,89,66,50,54,96,60,97,99,81,52,88,Data Scientist
50,86,78,50,62,86,73,66,73,61,85,83,81,83,81,97,85,63,51,89,98,90,85,96,87,54,95,90,88,66,85,65,54,66,98,86,67,87,65,55,72,57,53,AI Researcher
56,54,68,54,83,64,73,62,93,83,51,84,58,76,78,80,82,66,99,99,54,55,76,97,50,69,89,63,69,57,55,52,55,87,53,88,98,61,77,100,100,78,91,Data Scientist
77,67,62,50,82,87,61,74,70,76,65,61,89,91,77,88,97,50,82,95,62,86,83,77,61,99,73,60,94,72,67,84,63,58,92,77,88,78,58,86,78,50,52,Data Scientist
95,99,65,98,85,70,95,99,80,68,68,87,95,73,89,97,64,57,98,100,89,67,54,76,95,94,63,64,87,77,98,77,58,63,50,50,78,69,75,60,83,57,54,Doctor
68,91,66,98,91,82,63,94,91,87,95,79,77,75,96,86,54,67,53,58,96,90,58,64,70,64,85,92,54,86,88,58,87,74,85,58,86,99,87,58,57,62,78,Data Scientist
